CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Tanya Lalonde,Policy Advisor,2016-05-18,2017-06-14,45,Tanya Lalonde
Tanya Nayler,Legislative Assistant,2022-09-20,2024-11-19,3,"Tanya Nayler, Tanya Naylor"
Tanya Osiowy,Director,2020-07-16,2020-07-16,1,Tanya Osiowy
Tanya Peatt,Director of Policy,2008-07-21,2025-03-06,219,"TANYA PEATT, Tany Peatt, Tanya  Peatt, Tanya Peat, Tanya Peatt"
Tanya Potashnik,Director of Policy and Economic Analysis,2018-12-11,2022-07-07,4,"Tanya Potashnick, Tanya Potashnik, Tanya Potashnik "
Tanya Preatt,Senior Policy Advisor,2017-02-23,2017-02-23,1,Tanya Preatt
Tanya Ramsamy,"Director, PDD",2016-12-19,2024-12-18,4,"Dr Tanya Ramsamy, PhD, Tanya Ramsamy"
Tanya Trevors,"Director, Women’s and Children’s Health and Rights",2022-10-17,2023-09-06,2,Tanya Trevors
Tanya-michelle Contente,Parliamentary Assistant,2022-10-06,2022-10-06,2,"Tanya-Michelle  Contente, tanya-michelle Contente"
Tanzeel Merchant,Regional Director General,2022-06-10,2024-01-08,8,"Tanzeel  Merchant, Tanzeel Merchant"
Thao Pham,Associate Deputy Minister,2008-12-09,2023-04-17,84,"Tao Pham, Thao  Pham , Thao Pham"
Taous Ait,Policy Advisor,2023-12-15,2024-09-10,19,Taous Ait
Tapely Catrina,"Associate Assistant Deputy Minister, Citizenship",2011-06-06,2011-06-06,1,Tapely Catrina
Tapley Catrina,Assistant Secretary,2016-12-12,2016-12-12,1,Tapley Catrina
Tara Beauport,Press Attaché,2022-10-06,2022-10-06,1,Tara  Beauport
Tara Beitel,Senior Policy Advisor,2020-08-25,2020-08-25,2,"Tara Beitel, tara Beitel"
Tara Bower,Director,2012-04-24,2012-04-24,1,Tara Bower
Tara Carney,"Director, International Humanitarian Assistance",2017-06-22,2022-08-22,5,Tara Carney
Tara Cosgrove,Executive Director,2017-05-11,2019-02-05,4,Tara Cosgrove
Tara Denham,Director General,2019-03-25,2024-01-09,4,Tara Denham
Tara Dobson,Senior Policy Advisor,2018-03-13,2018-03-13,1,Tara Dobson
Tara Frezza,"Manager, Legislation",2017-05-11,2018-07-27,3,Tara Frezza
Tara Fulton,Associate Director,2023-08-30,2023-08-30,1,Tara Fulton
Tara Gray,Director,2014-12-12,2019-09-27,2,Tara Gray
Tara Hartley,Regional Director,2023-08-15,2024-07-09,4,Tara Hartley
Tara Hogeterp,Legislative and Communications Assistant,2016-04-11,2016-04-11,1,Tara Hogeterp
Tara Lapointe,"Vice President, Stakeholder Engagement and Advancement of Society",2024-04-30,2025-05-28,15,"Tara  Lapointe, Tara Lapointe"
Tara Martin,Policy Research Analyst,2021-11-22,2021-11-22,1,Tara Martin
Tara O'byrne,"Senior Policy Advisor, Aviation Security",2024-03-19,2024-03-19,1,Tara O'Byrne
Tara Preston,Deputy Minister,2021-06-23,2021-06-23,2,Tara Preston
Tara Scheurwater,Consul General,2022-04-13,2024-06-21,3,Tara Scheurwater
Tara Schuerwater,Senior Trade Commissioner,2018-11-30,2018-11-30,1,Tara Schuerwater
Tara Shannon,Assistant Deputy Minister,2013-10-11,2025-03-11,162,"Tara  ShannoN, Tara  Shannon, Tara  Shannon , Tara Shannon, Taras Shannon"
Tara Sheppard,Constituency Assistant,2020-10-09,2021-05-17,2,Tara Sheppard
Tara Story,Senior Policy Analyst,2021-12-02,2023-08-15,4,Tara Story
Taras Zalusky,Chief of Staff,2016-02-11,2025-05-27,479,"TARAS ZALUSKY, Tara Zalusky, Taras Zalusky, Taras Zalusky , Taras Zulosky"
Tara-lea Herkert,Manager,2018-06-11,2019-10-24,3,Tara-Lea Herkert
Tara-lee Kerket,"Economist, Financial Sector Division",2009-08-19,2009-08-19,1,Tara-Lee Kerket
Taras Hollyer,"Director, Program Policy and Innovation",2010-10-08,2014-05-26,4,Taras Hollyer
Taras Zaluksy,"Director, Policy, Procurement and Parliamentary Affairs",2016-11-23,2017-09-26,2,Taras Zaluksy
Taras Zulusky,Director of Policy,2016-08-24,2019-04-04,4,"Taras Zalusk, Taras Zulusky"
Taras Zaluski,"Director, Policy, Procurement and Parliamentary Affairs",2016-11-29,2018-06-08,2,"Taras Zaluski, Tarras Zalusky"
Taras Zaluskky,Policy Advisor,2016-04-21,2016-04-21,1,Taras Zaluskky
Tardif Denis,"Director, Regional Affairs",2012-11-13,2012-11-13,1,Tardif Denis
Tarik Brahmi,Member of Parliament,2011-09-14,2015-03-12,22,"TARIK BRAHMI, Tarik Brahmi, Tariq Brahmi"
Tarik Faruk,Chief of Staff,2016-08-31,2016-08-31,1,Tarik Faruk
Tarik Khan,"Ambassador, Canada to Jordan",2018-03-19,2023-05-29,5,Tarik Khan
Tarjei Nodtvedt Malme,Research Council,2019-06-19,2019-06-19,1,Tarjei Nodtvedt Malme
Tasha Hanes,Director General,2018-02-26,2025-05-22,56,"Tasha Hanes, Tasha Hanes "
Tasha Ismail,Director of Operations,2017-01-18,2020-11-18,82,"Tasha Isail, Tasha Isamail, Tasha Ismail, Tashma Ismail"
Tasha Ridell,Stakeholder Relations,2017-10-13,2017-10-13,1,Tasha Ridell
Tasha Stefanis,Director General,2019-07-11,2023-04-26,6,"Tasha  Stefanis, Tasha Stefanis"
Tasharash Williams,"Director General, Social Policy - Immigration",2020-10-07,2020-10-07,1,Tasharash Williams
Taso Georgiou,Vice President,2017-10-06,2018-04-16,2,Taso Georgiou
Tate Chong,Staff,2017-02-07,2017-02-07,4,Tate Chong
Tatiana Popesco,Senior Departmental Advisor,2012-01-17,2012-01-17,5,Tatiana Popesco
Tatyana Karaulshchykova,Legislative Assistant,2024-01-31,2024-10-25,10,Tatyana Karaulshchykova
Tausha Michaud,Chief of Staff,2013-10-22,2021-03-02,12,Tausha Michaud
Tavner Kaur Tur,Executive Assistant to the Minister,2023-03-28,2023-03-28,1,Tavner Kaur Tur
Tawnya Hewitt,Negotiator,2024-11-06,2025-03-05,2,Tawnya Hewitt
Tay Rubman,Legislative Assistant,2022-02-15,2022-02-15,1,Tay Rubman
Taylor Ambler,Manager,2024-01-23,2024-02-13,2,Taylor Ambler
Taylor Bachrach,Member of Parliament,2019-11-01,2025-02-07,270,"Taylor  Bachrach, Taylor  Bachrach , Taylor Bachrach, Taylor Bachrach , Taylor Bachrach, M.P."
Taylor Gordon,Policy Advisor,2018-11-20,2018-11-20,1,Taylor Gordon
Taylor Gregory,Deputy Chief Public Health Officer,2014-08-18,2014-08-18,7,Taylor Gregory
Taylor Groenewoud,Senior Program Scientist,2022-04-22,2022-04-29,2,"Taylor  Groenewoud, Taylor Groenewoud"
