CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Inyangudor Idee,Director of Policy and Stakeholder Relations,2013-06-20,2013-12-11,2,Inyangudor Idee
Ioanna Sahas Martin,Director,2014-04-16,2022-12-06,3,"Ioanna Sahas Martin, Ionna Sahas Martin"
Ioulia Mish,Director,2023-11-01,2023-11-01,2,Ioulia Mish
Iqbal Sultani,Special Assistant,2022-09-28,2023-06-16,27,"Iqbal  Sultani, Iqbal Sultani"
Iqra Khalid,Member of Parliament,2016-01-15,2025-06-11,209,"Igra Khalid, Ikra Khalid, Iqra  Khalid , Iqra Kahlid, Iqra Khalid"
Iqwinder Gaheer,Member of Parliament,2021-11-09,2025-06-03,144,"Iqwinder  Gaheer, Iqwinder  Gaheer , Iqwinder Gaheer"
Ira Khadkar,"Advisor, Atlantic Canada",2023-09-11,2023-09-11,1,Ira Khadkar
Ira Khedkar,Communications and Atlantic Advisor,2023-06-14,2024-02-08,18,"Ira Khedkar, ira khedkar"
Irek Kusmeirczyk,Parliamentary Secretary,2020-02-20,2020-05-25,4,"Irek Kusmeirczyk, Irek Kusmerczyk, Irek Kuzmierczyk"
Irek Kusmierczyk,Member of Parliament,2019-11-28,2025-03-20,176,"Irek Kusmericzyk, Irek Kusmiercayk, Irek Kusmierczky, Irek Kusmierczyk, Irek kusmierczyk, Irene Kusmierczyk, irek Kusmierczyk"
Ivana Spasovska,"Senior Special Assistant, Regional Affairs",2020-02-05,2021-08-06,115,"Irena Spasovska, Ivana Spasovska"
Irene Brueckner-irwin,Legislative Assistant,2020-11-20,2021-03-03,6,Irene Brueckner-Irwin
Irene Cheung,Policy Advisor,2018-09-25,2021-11-16,214,"Irene Cheung, Irene Chung, Irene cheung"
Irene Coyle,Research Engineer,2009-09-30,2009-09-30,1,Irene Coyle
Irene Irene Makary-abourizk,Principal Analyst,2023-03-16,2023-03-16,1,Irene Irene Makary-Abourizk
Irene Makary-abourizk,Principal Analyst,2023-03-09,2023-11-23,5,Irene Makary-Abourizk
Irene Mathyssen,Member of Parliament,2008-09-29,2021-03-04,236,"IRENE MATHYSSEN, Ian Matheson, Irene Matheson, Irene Mathyseen, Irene Mathysen, Irene Mathyson, Irene Mathyssen, Irene Mathyssen MP, Irene Mathyssen, M.P., Irene Mathysson, Irene Mathysssen, Irene Mattyson"
Irene Mikawoz,Deputy Director,2011-08-23,2024-02-27,2,"Irene  Mikawoz, Irene Mikawoz"
Irene Serry,Assistant to the Minister,2017-12-12,2018-02-01,5,Irene Serry
Irina Petrova,Commerce Officer,2017-02-07,2017-03-21,3,Irina Petrova
Iris Petten,Senator,2023-06-07,2025-06-11,18,"Iris G.  Petten, Iris G. Petten, Iris Petten"
Irving Gerstein,Senator,2009-03-23,2015-12-09,20,"Honourable Senator Irving Gerstein, Irving Gerstein, Irving R. Gerstein, The Honourable Senator Irving Gerstein"
Irwin Bess,Director General,2012-08-17,2021-03-25,4,Irwin Bess
Irwin Cotler,Member of Parliament,2010-11-26,2023-08-30,41,"Irwin Colter, Irwin Cotler, Iwrin Cotler"
Iryna Pryhara,Policy Analyst,2020-02-21,2020-02-26,2,Iryna Pryhara
Iryna Zamchevska,Program Advisor,2022-03-08,2022-03-08,1,Iryna Zamchevska
Isa Gros-louis,"Director, Strategic Policy, Planning and Portfolio Affairs",2017-07-17,2017-07-17,1,Isa Gros-Louis
Isa Tobas,Senior Advisor,2024-09-18,2024-09-18,1,Isa Tobas
Isa Tobpas,"Regional Advisor, Ontario",2021-06-02,2021-06-02,1,Isa Tobpas
Isa Topbas,Policy Advisor,2021-04-06,2025-02-05,114,"Isa  Topbas, Isa  Topbas , Isa Topbas, isa topbas"
Isaac Breadner,Executive Assistant to the Minister,2008-08-26,2008-09-05,3,"ISAAC BREADNER, Isaac Breadner"
Isaac Cockburn,Chief of Staff,2017-11-07,2017-11-07,1,Isaac Cockburn
Isabel Agolini,Program Coordinator,2024-11-26,2025-05-14,4,Isabel Agolini
Isabel Davis,Intern,2021-06-02,2021-06-02,3,Isabel Davis
Isabel Giardino,Manager,2021-01-14,2024-12-09,3,Isabel Giardino
Isabel Hernando,"Senior International Assistance Officer, Development Cooperation",2024-09-16,2024-09-16,1,Isabel Hernando
Isabel Jaen Raasch,General Counsel,2016-06-07,2020-12-09,2,Isabel Jaen Raasch
Isabel Mainville,Deputy Director,2022-05-12,2022-05-25,3,Isabel Mainville
Isabel O'rourke,Administrative Officer,2021-01-15,2021-01-15,1,Isabel O'Rourke
Isabelle Ranger,Director,2019-04-29,2021-02-01,15,"Isabel Ranger, Isabelle Ranger"
Isabel Simon,Assistant,2012-06-11,2012-06-11,1,Isabel Simon
Isabel-alissa Jenish,"Stakeholder Relations Analyst, Bank of Canada",2022-10-04,2022-10-04,1,Isabel-Alissa Jenish
Isabella An,"Assistant Secretary to the Cabinet, Social Development Policy",2023-02-22,2023-02-22,1,Isabella an 
Isabella Brisson,"Acting Director, Communications | Press Secretary",2022-03-02,2022-04-21,3,Isabella Brisson
Isabella Chan,Senior Assistant Deputy Minister,2020-10-09,2025-05-27,114,"Isabella  Chan, Isabella  Chan , Isabella Chan"
Isabella Jimenez,Research Officer,2022-07-05,2022-07-05,1,Isabella  Jimenez
Isabella Merola,Analyst,2021-07-08,2021-07-08,1,Isabella Merola
Isabella Orozco-madison,Special Assistant,2018-10-31,2018-10-31,1,Isabella Orozco-Madison
Isabelle Aubin,Senior Advisor to the Associate Assistant Deputy Minister,2020-08-25,2021-10-15,6,Isabelle Aubin
Isabelle Beauchamp,Assistant,2024-10-22,2024-10-22,1,Isabelle Beauchamp
Isabelle Berard,Director General,2009-03-10,2020-10-22,14,"Isabelle Berand, Isabelle Berard, Isabelle Bérard"
Isabelle Blain,Vice President,2008-11-05,2012-05-16,15,"Isabelle Blain, Isabelle Blaine, Isabelle Blair"
