CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Ouassim Meguellati,Director General,2015-01-13,2015-01-27,2,Ouassim Meguellati
Ouellett Annie,Advisor,2025-04-08,2025-04-08,1,Ouellett Annie
Oujjal Dosanjh,Health Critic,2011-03-02,2011-03-02,1,Oujjal Dosanjh
Oula Hreiche,Policy Analyst,2022-08-23,2023-05-04,3,"Oula Hreich, Oula Hreiche"
Oula Sanduga,Executive Assistant,2014-03-14,2014-03-14,1,Oula Sanduga
Oussamah Tami,Deputy Director,2023-05-10,2023-05-10,1,Oussamah Tami
Oussamah Tamim,EduCanada Brand and Mission Support,2023-06-15,2023-06-15,1,Oussamah Tamim
Outhwaite Krista,Associate Deputy Minister,2011-05-17,2011-05-17,1,Outhwaite Krista
Owen Lippert,Senior Policy Advisor,2008-08-15,2008-08-25,2,Owen Lippert
Owen Mcadams,Regional Advisor,2022-05-26,2024-12-06,18,Owen McAdams
Owen Parker,Policy Analyst,2021-01-15,2021-07-22,2,Owen Parker
Owen Ripley,Associate Assistant Deputy Minister,2018-11-08,2024-10-08,127,Owen Ripley
Owen Teo,Director of Policy,2012-10-10,2023-03-14,61,Owen Teo
Owen Thomas Ripley,Director General,2021-05-31,2021-05-31,1,Owen Thomas Ripley
Owen Wilson,Parliamentary Assistant,2021-10-26,2022-03-04,2,Owen Wilson
Owen Woodger,Acting Manager,2023-01-19,2023-03-09,3,Owen Woodger
Owen Yeo,Director of Policy,2016-06-08,2016-06-08,1,Owen Yeo
Oyundari Galsandorj,Trade Commissioner,2014-10-14,2014-10-14,1,Oyundari Galsandorj
Oz Jungic,Policy Advisor,2019-05-15,2025-06-14,400,"Oz  Jungic, Oz  Jungic , Oz Junci, Oz Juncic, Oz Jungcic, Oz Jungic, Oz Jungic , Oz Jungric, oz Jungic"
