CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Ratna Omidvar,Senator,2016-06-02,2024-09-26,164,"Hon. Ratna Omidvar, Ratna  Omidvar, Ratna Obnivar, Ratna Omidvar, Ratna Omvidar, Senator Ratna Omidvar, The Hon. Ratna Omdivar"
Raul Dumitras,Analyst,2022-02-17,2022-03-24,2,Raul Dumitras
Ravalia,Senator,2019-05-15,2019-05-15,1,Senator Ravalia
Ravalia Mohamed-iqbal,Senator,2019-02-19,2019-02-19,1,Ravalia Mohamed-Iqbal
Ravi Sall,Chief of Staff,2022-02-07,2022-02-07,1,Ravi Sall
Ravi Sundararaj,Senior Director,2024-03-12,2024-03-12,1,Ravi Sundararaj
Ravina Bains,Director of Parliamentary Affairs | Director of Policy and Region,2011-03-08,2013-05-15,17,Ravina Bains
Ravinder Arora,District Veterinarian,2017-09-08,2024-08-28,4,Ravinder Arora
Rawan El-komos,"Director General, Workforce Management",2023-03-01,2023-03-01,1,Rawan El-Komos
Ray Amos,Assistant Deputy Minister,2015-05-12,2015-05-12,1,Ray Amos
Ray Boughen,Member of Parliament,2009-06-18,2015-05-27,254,"R. Boughen, RAY BOUGEN, RAY BOUGHEN, Ray Baughen, Ray Boughen, Ray Boughen, M.P., Ray Bougher, Ray Boughnen, Ray Boughten, Ray Broughen, Rob Boughen, Roy Boughen, ray bourghen"
Ray Clark,"Manager, Intergovernmental and Stakeholder Policy Division",2020-04-27,2020-04-27,1,Ray Clark
Ray Dykstra,Executive Assistant,2013-10-18,2015-01-22,3,Ray Dykstra
Ray Edward,Acting Director General,2009-01-23,2009-01-23,1,Ray Edward
Ray Edwards,Associate Assistant Deputy Minister,2023-05-30,2025-05-30,85,"Ray  Edwards, Ray Edwards"
Ray Jolicoeur,Provincial Liaison and Partnerships Coordinator,2022-04-08,2023-06-29,9,Ray Jolicoeur
Ray Kaduck,Member,2015-03-25,2015-03-25,1,Ray Kaduck
Ray Kassam,Chief Strategy Officer,2023-11-21,2024-06-04,3,Ray Kassam
Ray Kassan,"Director, Investor Services",2020-01-30,2020-01-30,1,Ray Kassan
Ray Kenny,Newfoundland East Field Unit,2021-02-23,2021-02-23,1,Ray Kenny
Ray Novak,Chief of Staff,2012-05-25,2015-07-09,26,Ray Novak
Ray Vogan,Policy Advisor,2011-01-25,2011-01-25,1,Ray Vogan
Ray Walsh,Regional Director,2023-10-26,2024-03-21,2,Ray Walsh
Rayes Alain,Member of Parliament,2018-03-20,2018-03-20,1,Rayes Alain
Raylene Johnson,Chief of Staff,2008-07-03,2009-11-25,9,"Raylene Johnson, Raylene Johnston"
