raw name,cleaned name,first_appearance,last_appearance,count,title
Tara Story,Tara Story,2021-12-02,2023-08-15,4,Senior Policy Analyst
Tara Zalusky,Tara Zalusky,2019-10-10,2020-09-13,3,Chief of Staff
Tara-lea Herkert,Tara-lea Herkert,2018-06-11,2019-10-24,3,Manager
Tara-lee Kerket,Tara-lee Kerket,2009-08-19,2009-08-19,1,"Economist, Financial Sector Division"
Taras Hollyer,Taras Hollyer,2010-10-08,2014-05-26,4,"Director, Program Policy and Innovation"
Taras Shannon,Taras Shannon,2022-04-29,2022-04-29,1,"Assistant Deputy Minister, Canadian Wildlife Service"
Taras Zaluksy,Taras Zaluksy,2016-11-23,2017-09-26,2,"Director, Policy, Procurement and Parliamentary Affairs"
Taras Zalusk,Taras Zalusk,2018-04-11,2018-04-11,1,Director of Policy
Taras Zaluski,Taras Zaluski,2018-06-08,2018-06-08,1,"Director, Policy, Procurement and Parliamentary Affairs"
Taras Zaluskky,Taras Zaluskky,2016-04-21,2016-04-21,1,Policy Advisor
Taras Zalusky,Taras Zalusky,2016-02-11,2025-05-27,474,Chief of Staff
Taras Zulosky,Taras Zulosky,2019-11-28,2019-11-28,2,Chief of Staff
Taras Zulusky,Taras Zulusky,2016-08-24,2019-04-04,3,Director of Policy
Tardif Denis,Tardif Denis,2012-11-13,2012-11-13,1,"Director, Regional Affairs"
Tarik Brahmi,Tarik Brahmi,2011-09-14,2015-03-12,21,Member of Parliament
Tarik Faruk,Tarik Faruk,2016-08-31,2016-08-31,1,Chief of Staff
Tarik Khan,Tarik Khan,2018-03-19,2023-05-29,5,"Ambassador, Canada to Jordan"
Tariq Brahmi,Tarik Brahmi,2014-05-26,2014-05-26,1,Member of Parliament
Tarjei Nodtvedt Malme,Tarjei Nodtvedt Malme,2019-06-19,2019-06-19,1,Research Council
Tarras Zalusky,Taras Zaluski,2016-11-29,2016-11-29,1,"Director, Policy, Procurement and Parliamentary Affairs"
Tasha Hanes,Tasha Hanes,2018-02-26,2025-05-22,56,Director General
Tasha Isail,Tasha Ismail,2020-06-19,2020-06-19,1,Director of Operations
Tasha Isamail,Tasha Ismail,2020-10-30,2020-10-30,1,Director of Operations
Tasha Ismail,Tasha Ismail,2017-01-18,2020-11-18,79,Director of Operations
Tasha Ridell,Tasha Ridell,2017-10-13,2017-10-13,1,Stakeholder Relations
Tasha Stefanis,Tasha Stefanis,2019-07-11,2023-04-26,6,Director General
Tasharash Williams,Tasharash Williams,2020-10-07,2020-10-07,1,"Director General, Social Policy - Immigration"
Tashma Ismail,Tasha Ismail,2020-04-13,2020-04-13,1,Director of Operations
Tasnia Khan,Tsania Khan,2020-05-26,2020-11-17,3,Junior Policy Analyst
Taso Georgiou,Taso Georgiou,2017-10-06,2018-04-16,2,Vice President
Tate Chong,Tate Chong,2017-02-07,2017-02-07,4,Staff
Tatiana Popesco,Tatiana Popesco,2012-01-17,2012-01-17,5,Senior Departmental Advisor
Tatyana Karaulshchykova,Tatyana Karaulshchykova,2024-01-31,2024-10-25,10,Legislative Assistant
Tausha Michaud,Tausha Michaud,2013-10-22,2021-03-02,12,Chief of Staff
Tavner Kaur Tur,Tavner Kaur Tur,2023-03-28,2023-03-28,1,Executive Assistant to the Minister
Tawnya Hewitt,Tawnya Hewitt,2024-11-06,2025-03-05,2,Negotiator
Tay Rubman,Tay Rubman,2022-02-15,2022-02-15,1,Legislative Assistant
Taylor Ambler,Taylor Ambler,2024-01-23,2024-02-13,2,Manager
Taylor Bachrach,Taylor Bachrach,2019-11-01,2025-02-07,270,Member of Parliament
Taylor Gordon,Taylor Gordon,2018-11-20,2018-11-20,1,Policy Advisor
Taylor Gregory,Taylor Gregory,2014-08-18,2014-08-18,7,Deputy Chief Public Health Officer
Taylor Groenewoud,Taylor Groenewoud,2022-04-22,2022-04-29,2,Senior Program Scientist
Taylor Hartrick,Taylor Hartrick,2020-11-17,2023-10-31,7,Policy Analyst
Taylor Hladik,Taylor Hladik,2015-07-07,2015-07-07,1,"Counsellor, Commercial"
Taylor Hodgins,Taylor Hodgins,2018-03-20,2018-05-29,2,Staffer
Taylor Johnson,Taylor Johnson,2015-02-19,2015-02-19,1,Economist | Analyst
Taylor Komery,Taylor Komery,2023-04-06,2023-04-06,1,Procurement Officer
Taylor Pettit,Taylor Pettit,2014-08-18,2014-08-18,1,Issues Manager
Taylor Roy,Taylor Roy,2023-02-02,2023-02-02,1,Member of Parliament
Taylor Suzanne,Taylor Suzanne,2019-06-24,2019-06-24,1,Policy Advisor
Tchilabalo Abaki,Tchilabalo Abaki,2024-11-05,2024-11-05,1,Acting High Commissioner for Togo | First Counsellor
Tea Lalatovic,Tea Lalatovic,2023-11-17,2023-11-17,1,Analyst
Teall Hall,Teall Hall,2022-06-15,2024-03-27,5,Policy Analyst
Teanna Lackner,Teanna Lackner,2024-07-15,2024-07-15,1,Program Coordinator
Ted Cook,Ted Cook,2010-03-11,2020-11-18,79,Director
Ted E Menzies,Ted E Menzies,2012-01-18,2012-01-18,1,"Minister of State, Finance"
Ted E. Menzies,Ted E Menzies,2012-05-22,2012-05-22,1,"Minister of State, Finance"
Ted Falk,Ted Falk,2014-02-04,2025-06-11,540,Member of Parliament
Ted Francis,Ted Francis,2016-09-08,2017-04-10,3,Chief of Staff
Ted Gallivan,Ted Gallivan,2013-08-08,2025-02-12,203,Assistant Commissioner
Ted Hewit,Ted Hewitt,2017-10-19,2017-10-19,1,President
Ted Hewitt,Ted Hewitt,2012-09-21,2025-05-28,305,President
Ted Hewlitt,Ted Hewitt,2023-02-01,2023-02-01,1,President
